Ref,Val,Package,PosX,PosY,Rot,Side
"C15","1uF","C_0402_1005Metric",146.750000,-113.750000,90.000000,bottom
"C20",".1uF","C_0402_1005Metric",160.112500,-108.200000,-90.000000,bottom
"C23","4.7uF","C_0603_1608Metric",159.250000,-113.500000,90.000000,bottom
"C58","1n","C_0402_1005Metric",157.000000,-92.100000,0.000000,bottom
"C59","47n","C_0402_1005Metric",152.125000,-93.700000,-90.000000,bottom
"FB1","2508051217Y6","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",154.750000,-113.000000,90.000000,bottom
"FB2","2508051217Y6","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",143.750000,-117.000000,0.000000,bottom
"J1","DF40C-24DP-0.4V","CONN24_6p32X1p85_hdr_HIR",150.000000,-117.000000,0.000000,bottom
"Q1","BSS138","SOT-23",143.520000,-102.212500,-90.000000,bottom
"Q2","BSS138","SOT-23",139.450000,-102.212500,-90.000000,bottom
"Q3","BSS138","SOT-23",143.437500,-108.750000,180.000000,bottom
"R8","3k3","R_0402_1005Metric",142.770000,-104.900000,0.000000,bottom
"R9","6k8","R_0402_1005Metric",139.440000,-104.900000,180.000000,bottom
"R10","27k","R_0402_1005Metric",140.190000,-99.687500,180.000000,bottom
"R11","27k","R_0402_1005Metric",144.270000,-99.687500,180.000000,bottom
"R13","6k8","R_0402_1005Metric",150.000000,-93.350000,0.000000,bottom
"R18","3k3","R_0402_1005Metric",142.400000,-88.753300,180.000000,bottom
"R19","6k8","R_0402_1005Metric",144.150000,-89.003300,90.000000,bottom
"R20","3k3","R_0402_1005Metric",142.400000,-87.253300,180.000000,bottom
"R21","6k8","R_0402_1005Metric",144.150000,-87.003300,-90.000000,bottom
"R22","0","R_0402_1005Metric",142.520000,-99.187500,90.000000,bottom
"R23","0","R_0402_1005Metric",138.440000,-99.187500,-90.000000,bottom
"R25","0","R_0402_1005Metric",152.000000,-90.750000,90.000000,bottom
"R26","27k","R_0402_1005Metric",143.750000,-115.250000,0.000000,bottom
"R27","0","R_0402_1005Metric",146.000000,-107.750000,90.000000,bottom
"R28","27k","R_0402_1005Metric",146.000000,-110.000000,-90.000000,bottom
"TP24","TestPoint","TestPoint_Keystone_5015_Micro_Mini",157.000000,-117.250000,0.000000,bottom
"U6","AT24CS01-STUM","SOT-23-5",157.362500,-108.200000,0.000000,bottom
"Y4","TG-5021CG","Oscillator_SMD_SeikoEpson_TG2520SMN-xxx-xxxxxx-4Pin_2.5x2.0mm",154.250000,-93.100000,0.000000,bottom
"AE2","MMCX-J-P-H-RA-TH1","MMCX_Molex_73415-1471_Vertical",136.919874,-87.750000,180.000000,top
